"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
5.84683624350732e-20,0.528827260148393,0.885,0.652,7.51903140915041e-17,"Cluster 2","Nlk"
6.58637731397616e-20,0.551362437837504,0.885,0.603,8.47008122577334e-17,"Cluster 2","Fam189a1"
1.0338239559435e-19,0.479471474274971,0.752,0.388,1.32949760734334e-16,"Cluster 2","Slit2"
1.13944333809523e-19,0.491334024238913,0.812,0.512,1.46532413279046e-16,"Cluster 2","Zfyve28"
1.70033825422915e-19,0.494347803300928,0.638,0.316,2.18663499493869e-16,"Cluster 2","Tmtc2"
2.46888909316066e-19,0.512374482510341,0.651,0.33,3.17499137380461e-16,"Cluster 2","Nuak1"
3.09582103182817e-19,0.449285187377135,0.775,0.398,3.98122584693102e-16,"Cluster 2","Lingo2"
3.41415933093166e-19,0.543615840101754,0.78,0.482,4.39060889957811e-16,"Cluster 2","Ssbp3"
3.91427680929322e-19,0.469921948527237,0.894,0.617,5.03375997675108e-16,"Cluster 2","Prkca"
4.6551543611953e-19,0.518072005044297,0.858,0.604,5.98652850849716e-16,"Cluster 2","Syt7"
5.05507102339688e-19,0.466413891128269,0.945,0.734,6.50082133608839e-16,"Cluster 2","Prickle2"
5.81344863824853e-19,0.410896258447581,0.665,0.333,7.47609494878761e-16,"Cluster 2","Map3k5"
6.14630475618423e-19,0.512807902299311,0.752,0.427,7.90414791645292e-16,"Cluster 2","Mgat5"
6.26190548360281e-19,0.642440820858893,0.381,0.128,8.05281045191321e-16,"Cluster 2","Prr16"
1.0910255450604e-18,0.432049752685157,0.94,0.771,1.40305885094768e-15,"Cluster 2","Sipa1l1"
1.26646227944837e-18,0.627982497514216,0.44,0.171,1.62867049137061e-15,"Cluster 2","Kcnh5"
1.3647341964844e-18,0.450940499186876,0.959,0.63,1.75504817667894e-15,"Cluster 2","Kcnh7"
1.54053091565319e-18,0.472134464345994,0.913,0.681,1.98112275753001e-15,"Cluster 2","Lrrc7"
1.67129634886537e-18,0.464526427253654,0.95,0.82,2.14928710464087e-15,"Cluster 2","Hivep2"
3.17772465132358e-18,0.465932013102348,0.945,0.721,4.08655390160213e-15,"Cluster 2","Dgkz"
4.94281437385934e-18,0.659685689757829,0.683,0.384,6.35645928478311e-15,"Cluster 2","Ak5"
6.6349852707482e-18,0.515674961080857,0.885,0.676,8.53259105818219e-15,"Cluster 2","Hivep3"
7.31115139991852e-18,0.435678577941186,0.95,0.783,9.40214070029521e-15,"Cluster 2","Kcnma1"
1.22638096507377e-17,0.414927711464253,1,0.961,1.57712592108487e-14,"Cluster 2","Ppp3ca"
1.3477893104027e-17,0.511223316453178,0.642,0.314,1.73325705317787e-14,"Cluster 2","Nell1"
